2026-05-27 22:35:01 | INFO     | modules.reporting | Session report generated — id=c45d5e9e verdict=SAFE duration=0.0 min
2026-05-27 22:35:01 | INFO     | modules.reporting | Session report generated — id=eac799cb verdict=SAFE duration=0.0 min
2026-05-27 22:35:01 | INFO     | modules.reporting | Report exported to JSON: C:\Users\Sukhada\AppData\Local\Temp\pytest-of-Sukhada\pytest-1\test_export_creates_file0\test_report.json
2026-05-27 22:35:01 | INFO     | modules.reporting | Session report generated — id=b816b058 verdict=SAFE duration=0.0 min
2026-05-27 22:35:01 | INFO     | modules.reporting | Report exported to JSON: C:\Users\Sukhada\AppData\Local\Temp\pytest-of-Sukhada\pytest-1\test_export_json_valid_structu0\full_report.json
2026-05-27 22:35:01 | INFO     | modules.reporting | Session report generated — id=96411864 verdict=SAFE duration=0.0 min
2026-05-27 22:35:01 | INFO     | modules.reporting | Report exported to JSON: D:\Ameya\Programming\College\sem projects\Adaptive Privacy & Threat Detection System\data\reports\report_20260527_223501.json
2026-05-27 22:35:01 | INFO     | modules.reporting | Session report generated — id=9d24a538 verdict=SAFE duration=0.0 min
2026-05-27 22:35:01 | INFO     | modules.reporting | Report exported to TXT: C:\Users\Sukhada\AppData\Local\Temp\pytest-of-Sukhada\pytest-1\test_export_creates_file1\test_report.txt
2026-05-27 22:35:01 | INFO     | modules.reporting | Session report generated — id=c7d1bfe9 verdict=SAFE duration=0.0 min
2026-05-27 22:35:01 | INFO     | modules.reporting | Report exported to TXT: C:\Users\Sukhada\AppData\Local\Temp\pytest-of-Sukhada\pytest-1\test_txt_contains_sections0\sections.txt
2026-05-27 22:35:01 | INFO     | modules.reporting | Session report generated — id=9fba3d1b verdict=SAFE duration=0.0 min
2026-05-27 22:35:01 | INFO     | modules.reporting | Report exported to TXT: C:\Users\Sukhada\AppData\Local\Temp\pytest-of-Sukhada\pytest-1\test_txt_contains_threats0\threats.txt
2026-05-27 22:35:01 | INFO     | modules.reporting | Session report generated — id=47b1130e verdict=SAFE duration=0.0 min
2026-05-27 22:35:01 | INFO     | modules.reporting | Session report generated — id=fb8c834f verdict=ELEVATED duration=0.0 min
2026-05-27 22:35:01 | INFO     | modules.reporting | Report exported to JSON: C:\Users\Sukhada\AppData\Local\Temp\pytest-of-Sukhada\pytest-1\test_history_returns_reports0\reports\report_20250115_140000.json
2026-05-27 22:35:01 | INFO     | modules.reporting | Report exported to JSON: C:\Users\Sukhada\AppData\Local\Temp\pytest-of-Sukhada\pytest-1\test_history_returns_reports0\reports\report_20250115_144500.json
2026-05-27 22:35:01 | INFO     | modules.hardening | Hardening analysis produced 1 recommendations
2026-05-27 22:35:01 | INFO     | modules.hardening | Hardening analysis produced 1 recommendations
2026-05-27 22:35:01 | INFO     | modules.hardening | Hardening analysis produced 1 recommendations
2026-05-27 22:35:01 | INFO     | modules.hardening | Hardening analysis produced 1 recommendations
